Service Name , Category , Route Name , Cost Basis , Unit , Base Cost , Notes , Vehicle Type , Passenger Capacity
Coach Alexandria to Bahariya Oasis  Overnight, transport ,Alexandria–Bahariya Oasis Overnight, per_group ,tour,300 €,48 hours, Coach , 3-7 pax
Coach Alexandria to Siwa Oasis transfer, transport ,Alexandria–Siwa Oasis Transfer, per_group ,transfer ,340 €,3-4 hours, Coach , 3-7 pax
Coach Alexandria to Siwa Oasis  Roundtrip, transport ,Alexandria–Siwa Oasis Roundtrip, per_group ,tour,390 €,9-10 hours, Coach , 3-7 pax
Coach Alexandria to Siwa Oasis  Overnight, transport ,Alexandria–Siwa Oasis Overnight, per_group ,tour,3 €,48 hours, Coach , 3-7 pax
Sedan Aswan Airport Pickup , transport ,Aswan Airport Pickup, per_group ,transfer ,18 €, One-way airport pickup , Sedan , 1-2 pax
Sedan Aswan Airport Dropoff , transport ,Aswan Airport Dropoff, per_group ,transfer ,18 €, One-way airport dropoff , Sedan , 1-2 pax
Sedan Aswan Airport Roundtrip , transport ,Aswan Airport Roundtrip, per_group ,transfer ,36 €, Round-trip airport service , Sedan , 1-2 pax
Sedan Station Pickup , transport ,Aswan Station Pickup, per_group ,transfer ,9 €, One-way airport pickup , Sedan , 1-2 pax
Sedan Station Dropoff , transport ,Aswan Station Dropoff, per_group ,transfer ,9 €, One-way airport dropoff , Sedan , 1-2 pax
Sedan Aswan (High Dam), transport ,Aswan City Tour – High Dam, per_group ,tour,20 €, 4-hour city tour , Sedan , 1-2 pax
Sedan Aswan (High Dam & Philae), transport ,Aswan City Tour – High Dam & Philae, per_group ,tour,20 €, 12-hour city tour , Sedan , 1-2 pax
"Sedan Aswan  (High Dam, Unfinished Obelisk & Philae)", transport ,"Aswan City Tour – High Dam, Obelisk & Philae", per_group ,tour,20 €, 8-hour city tour , Sedan , 1-2 pax
Sedan Aswan  (Kalabsha Temple), transport ,Aswan City Tour – Kalabsha, per_group ,tour,18 €, 8-hour city tour , Sedan , 1-2 pax
Sedan Aswan Outside Dinner, transport ,Aswan Dinner Transfer, per_group ,transfer ,12 €,2 hours, Sedan , 1-2 pax
Sedan Aswan City Transfer, transport ,Aswan City Transfer, per_group ,transfer ,8 €,2 hours, Sedan , 1-2 pax
Sedan Aswan Sound & light Show Return Transfer, transport ,Aswan Sound & Light Show Transfer, per_group ,transfer ,12 €,3 hours, Sedan , 1-2 pax
Sedan Aswan to Luxor transfer, transport ,Aswan–Luxor Transfer, per_group ,transfer ,80 €,3-4 hours, Sedan , 1-2 pax
Sedan Aswan to Luxor Roundtrip, transport ,Aswan–Luxor Roundtrip, per_group ,tour,86 €,9-10 hours, Sedan , 1-2 pax
Sedan Aswan to Luxor Overnight, transport ,Aswan–Luxor Overnight, per_group ,tour,131 €,48 hours, Sedan , 1-2 pax
Sedan Aswan to Abu Simbel transfer, transport ,Aswan–Abu Simbel Transfer, per_group ,transfer ,108 €,3-4 hours, Sedan , 1-2 pax
Sedan Aswan to Abu Simbel Roundtrip, transport ,Aswan–Abu Simbel Roundtrip, per_group ,tour,108 €,9-10 hours, Sedan , 1-2 pax
Sedan Aswan to Abu Simbel Overnight, transport ,Aswan–Abu Simbel Overnight, per_group ,tour,154 €,48 hours, Sedan , 1-2 pax
Sedan Aswan to Marsa Alam transfer, transport ,Aswan–Marsa Alam Transfer, per_group ,transfer ,146 €,3-4 hours, Sedan , 1-2 pax
Sedan Aswan to Hurghada transfer, transport ,Aswan–Hurghada Transfer, per_group ,transfer ,175 €,3-4 hours, Sedan , 1-2 pax
Hiace Aswan Airport Pickup , transport ,Aswan Airport Pickup, per_group ,transfer ,18 €, One-way airport pickup , Sedan , 3-7 pax
Hiace Aswan Airport Dropoff , transport ,Aswan Airport Dropoff, per_group ,transfer ,18 €, One-way airport dropoff , Sedan , 3-7 pax
Hiace Aswan Airport Roundtrip , transport ,Aswan Airport Roundtrip, per_group ,transfer ,72 €, Round-trip airport service , Sedan , 3-7 pax
Hiace Station Pickup , transport ,Aswan Station Pickup, per_group ,transfer ,12 €, One-way airport pickup , Sedan , 3-7 pax
Hiace Station Dropoff , transport ,Aswan Station Dropoff, per_group ,transfer ,12 €, One-way airport dropoff , Sedan , 3-7 pax
Hiace Aswan (High Dam), transport ,Aswan City Tour – High Dam, per_group ,tour,28 €, 4-hour city tour , Sedan , 3-7 pax
Hiace Aswan (High Dam & Philae), transport ,Aswan City Tour – High Dam & Philae, per_group ,tour,30 €, 12-hour city tour , Sedan , 3-7 pax
"Hiace Aswan  (High Dam, Unfinished Obelisk & Philae)", transport ,"Aswan City Tour – High Dam, Obelisk & Philae", per_group ,tour,30 €, 8-hour city tour , Sedan , 3-7 pax
Hiace Aswan  (Kalabsha Temple), transport ,Aswan City Tour – Kalabsha, per_group ,tour,21 €, 8-hour city tour , Sedan , 3-7 pax
Hiace Aswan Outside Dinner, transport ,Aswan Dinner Transfer, per_group ,transfer ,18 €,2 hours, Sedan , 3-7 pax
Hiace Aswan City Transfer, transport ,Aswan City Transfer, per_group ,transfer ,8 €,2 hours, Sedan , 3-7 pax
Hiace Aswan Sound & light Show Return Transfer, transport ,Aswan Sound & Light Show Transfer, per_group ,transfer ,19 €,3 hours, Sedan , 3-7 pax
Hiace Aswan to Luxor transfer, transport ,Aswan–Luxor Transfer, per_group ,transfer ,95 €,3-4 hours, Sedan , 3-7 pax
Hiace Aswan to Luxor Roundtrip, transport ,Aswan–Luxor Roundtrip, per_group ,tour,100 €,9-10 hours, Sedan , 3-7 pax
Hiace Aswan to Luxor Overnight, transport ,Aswan–Luxor Overnight, per_group ,tour,170 €,48 hours, Sedan , 3-7 pax
Hiace Aswan to Abu Simbel transfer, transport ,Aswan–Abu Simbel Transfer, per_group ,transfer ,137 €,3-4 hours, Sedan , 3-7 pax
Hiace Aswan to Abu Simbel Roundtrip, transport ,Aswan–Abu Simbel Roundtrip, per_group ,tour,137 €,9-10 hours, Sedan , 3-7 pax
Hiace Aswan to Abu Simbel Overnight, transport ,Aswan–Abu Simbel Overnight, per_group ,tour,194 €,48 hours, Sedan , 3-7 pax
Hiace Aswan to Marsa Alam transfer, transport ,Aswan–Marsa Alam Transfer, per_group ,transfer ,161 €,3-4 hours, Sedan , 3-7 pax
Hiace Aswan to Hurghada transfer, transport ,Aswan–Hurghada Transfer, per_group ,transfer ,191 €,3-4 hours, Sedan , 3-7 pax
Coaster Aswan Airport Pickup , transport ,Aswan Airport Pickup, per_group ,transfer ,37 €, One-way airport pickup , Sedan , 8-14 pax
Coaster Aswan Airport Dropoff , transport ,Aswan Airport Dropoff, per_group ,transfer ,37 €, One-way airport dropoff , Sedan , 8-14 pax
Coaster Aswan Airport Roundtrip , transport ,Aswan Airport Roundtrip, per_group ,transfer ,156 €, Round-trip airport service , Sedan , 8-14 pax
Coaster Station Pickup , transport ,Aswan Station Pickup, per_group ,transfer ,18 €, One-way airport pickup , Sedan , 8-14 pax
Coaster Station Dropoff , transport ,Aswan Station Dropoff, per_group ,transfer ,18 €, One-way airport dropoff , Sedan , 8-14 pax
Coaster Aswan (High Dam), transport ,Aswan City Tour – High Dam, per_group ,tour,41 €, 4-hour city tour , Sedan , 8-14 pax
Coaster Aswan (High Dam & Philae), transport ,Aswan City Tour – High Dam & Philae, per_group ,tour,45 €, 12-hour city tour , Sedan , 8-14 pax
"Coaster Aswan  (High Dam, Unfinished Obelisk & Philae)", transport ,"Aswan City Tour – High Dam, Obelisk & Philae", per_group ,tour,50 €, 8-hour city tour , Sedan , 8-14 pax
Coaster Aswan  (Kalabsha Temple), transport ,Aswan City Tour – Kalabsha, per_group ,tour,45 €, 8-hour city tour , Sedan , 8-14 pax
Coaster Aswan Outside Dinner, transport ,Aswan Dinner Transfer, per_group ,transfer ,33 €,2 hours, Sedan , 8-14 pax
Coaster Aswan City Transfer, transport ,Aswan City Transfer, per_group ,transfer ,25 €,2 hours, Sedan , 8-14 pax
Coaster Aswan Sound & light Show Return Transfer, transport ,Aswan Sound & Light Show Transfer, per_group ,transfer ,33 €,3 hours, Sedan , 8-14 pax
Coaster Aswan to Luxor transfer, transport ,Aswan–Luxor Transfer, per_group ,transfer ,138 €,3-4 hours, Sedan , 8-14 pax
Coaster Aswan to Luxor Roundtrip, transport ,Aswan–Luxor Roundtrip, per_group ,tour,155 €,9-10 hours, Sedan , 8-14 pax
Coaster Aswan to Luxor Overnight, transport ,Aswan–Luxor Overnight, per_group ,tour,211 €,48 hours, Sedan , 8-14 pax
Coaster Aswan to Abu Simbel transfer, transport ,Aswan–Abu Simbel Transfer, per_group ,transfer ,194 €,3-4 hours, Sedan , 8-14 pax
Coaster Aswan to Abu Simbel Roundtrip, transport ,Aswan–Abu Simbel Roundtrip, per_group ,tour,194 €,9-10 hours, Sedan , 8-14 pax
Coaster Aswan to Abu Simbel Overnight, transport ,Aswan–Abu Simbel Overnight, per_group ,tour,285 €,48 hours, Sedan , 8-14 pax
Coaster Aswan to Marsa Alam transfer, transport ,Aswan–Marsa Alam Transfer, per_group ,transfer ,254 €,3-4 hours, Sedan , 8-14 pax
Coaster Aswan to Hurghada transfer, transport ,Aswan–Hurghada Transfer, per_group ,transfer ,272 €,3-4 hours, Sedan , 8-14 pax
Coach Aswan Airport Pickup , transport ,Aswan Airport Pickup, per_group ,transfer ,60 €, One-way airport pickup , Coach , 15-38 pax
Coach Aswan Airport Dropoff , transport ,Aswan Airport Dropoff, per_group ,transfer ,60 €, One-way airport dropoff , Coach , 15-38 pax
Coach Aswan Airport Roundtrip , transport ,Aswan Airport Roundtrip, per_group ,transfer ,282 €, Round-trip airport service , Coach , 15-38 pax
Coach Station Pickup , transport ,Aswan Station Pickup, per_group ,transfer ,42 €, One-way airport pickup , Coach , 15-38 pax
Coach Station Dropoff , transport ,Aswan Station Dropoff, per_group ,transfer ,42 €, One-way airport dropoff , Coach , 15-38 pax
Coach Aswan (High Dam), transport ,Aswan City Tour – High Dam, per_group ,tour,65 €, 4-hour city tour , Coach , 15-38 pax
Coach Aswan (High Dam & Philae), transport ,Aswan City Tour – High Dam & Philae, per_group ,tour,85 €, 12-hour city tour , Coach , 15-38 pax
"Coach Aswan  (High Dam, Unfinished Obelisk & Philae)", transport ,"Aswan City Tour – High Dam, Obelisk & Philae", per_group ,tour,85 €, 8-hour city tour , Coach , 15-38 pax
Coach Aswan  (Kalabsha Temple), transport ,Aswan City Tour – Kalabsha, per_group ,tour,85 €, 8-hour city tour , Coach , 15-38 pax
Coach Aswan Outside Dinner, transport ,Aswan Dinner Transfer, per_group ,transfer ,60 €,2 hours, Coach , 15-38 pax
Coach Aswan City Transfer, transport ,Aswan City Transfer, per_group ,transfer ,42 €,2 hours, Coach , 15-38 pax
Coach Aswan Sound & light Show Return Transfer, transport ,Aswan Sound & Light Show Transfer, per_group ,transfer ,60 €,3 hours, Coach , 15-38 pax
Coach Aswan to Luxor transfer, transport ,Aswan–Luxor Transfer, per_group ,transfer ,299 €,3-4 hours, Coach , 15-38 pax
Coach Aswan to Luxor Roundtrip, transport ,Aswan–Luxor Roundtrip, per_group ,tour,325 €,9-10 hours, Coach , 15-38 pax
Coach Aswan to Luxor Overnight, transport ,Aswan–Luxor Overnight, per_group ,tour,405 €,48 hours, Coach , 15-38 pax
Coach Aswan to Abu Simbel transfer, transport ,Aswan–Abu Simbel Transfer, per_group ,transfer ,357 €,3-4 hours, Coach , 15-38 pax
Coach Aswan to Abu Simbel Roundtrip, transport ,Aswan–Abu Simbel Roundtrip, per_group ,tour,357 €,9-10 hours, Coach , 15-38 pax
Coach Aswan to Abu Simbel Overnight, transport ,Aswan–Abu Simbel Overnight, per_group ,tour,519 €,48 hours, Coach , 15-38 pax
Coach Aswan to Marsa Alam transfer, transport ,Aswan–Marsa Alam Transfer, per_group ,transfer ,476 €,3-4 hours, Coach , 15-38 pax
Coach Aswan to Hurghada transfer, transport ,Aswan–Hurghada Transfer, per_group ,transfer ,499 €,3-4 hours, Coach , 15-38 pax
Sedan Cairo Airport Pickup , transport , Cairo Airport-Hotel , per_group ,transfer ,22 €, One-way airport pickup , Sedan , 1-2 pax
Sedan Cairo Airport Dropoff , transport , Hotel-Cairo Airport , per_group ,transfer ,22 €, One-way airport dropoff , Sedan , 1-2 pax
Sedan Cairo Airport Roundtrip , transport , Cairo Airport-Hotel-Airport , per_group ,transfer ,45 €, Round-trip airport service , Sedan , 1-2 pax
Sedan Giza Station Pickup , transport , Cairo Station-Hotel , per_group ,transfer ,22 €, One-way airport pickup , Sedan , 1-2 pax
Sedan Giza Station Dropoff , transport , Hotel-Cairo Station , per_group ,transfer ,22 €, One-way airport dropoff , Sedan , 1-2 pax
Sedan Cairo Day Tour 4 Hours , transport , Cairo City Day Tour, per_group ,tour,27 €, 4-hour city tour , Sedan , 1-2 pax
Sedan Cairo Day Tour 8 Hours , transport , Cairo City Day Tour, per_group ,tour,34 €, 8-hour city tour , Sedan , 1-2 pax
Sedan Cairo Day Tour 12 Hours , transport , Cairo City Day Tour, per_group ,tour,65 €, 12-hour city tour , Sedan , 1-2 pax
Sedan Cairo Day Tour 8 Hours + Dahshure, transport , Cairo City Day Tour, per_group ,tour,38 €, 8-hour city tour , Sedan , 1-2 pax
Sedan Cairo Sound & Light Show, transport ,Cairo S&L Transfer, per_group ,transfer ,22 €,2 hours, Sedan , 1-2 pax
Sedan Cairo Dinner Nile Cruise, transport ,Cairo Dinner Transfer, per_group ,transfer ,22 €,2-4 hours, Sedan , 1-2 pax
Sedan Cairo Outside Dinner, transport ,Cairo Outside Dinner Transfer, per_group ,transfer ,22 €,2 hours, Sedan , 1-2 pax
Sedan Cairo to Alexandria transfer, transport ,Cairo–Alexandria Transfer, per_group ,transfer ,84 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Alexandria Roundtrip, transport ,Cairo–Alexandria Roundtrip, per_group ,tour,96 €,9-10 hours, Sedan , 1-2 pax
Sedan Cairo to Alexandria Overnight, transport ,Cairo–Alexandria Overnight, per_group ,tour,141 €,48 hours, Sedan , 1-2 pax
Sedan Cairo to Al Fayoum transfer, transport ,Cairo–Fayoum Transfer, per_group ,transfer ,84 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Al Fayoum Roundtrip, transport ,Cairo–Fayoum Roundtrip, per_group ,tour,96 €,9-10 hours, Sedan , 1-2 pax
Sedan Cairo to Al Fayoum Overnight, transport ,Cairo–Fayoum Overnight, per_group ,tour,141 €,48 hours, Sedan , 1-2 pax
Sedan Cairo to Ras Sudr transfer, transport ,Cairo–Ras Sudr Transfer, per_group ,transfer ,84 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Ras Sudr Roundtrip, transport ,Cairo–Ras Sudr Roundtrip, per_group ,tour,96 €,9-10 hours, Sedan , 1-2 pax
Sedan Cairo to Ras Sudr Overnight, transport ,Cairo–Ras Sudr Overnight, per_group ,tour,141 €,48 hours, Sedan , 1-2 pax
Sedan Cairo to Ismailia transfer, transport ,Cairo–Ismailia Transfer, per_group ,transfer ,73 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Ismailia Roundtrip, transport ,Cairo–Ismailia Roundtrip, per_group ,tour,85 €,9-10 hours, Sedan , 1-2 pax
Sedan Cairo to Ain Sokhna transfer, transport ,Cairo–Ain Sokhna Transfer, per_group ,transfer ,73 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Ain Sokhna Roundtrip, transport ,Cairo–Ain Sokhna Roundtrip, per_group ,tour,85 €,9-10 hours, Sedan , 1-2 pax
Sedan Cairo to Ain Sokhna Overnight, transport ,Cairo–Ain Sokhna Overnight, per_group ,tour,130 €,48 hours, Sedan , 1-2 pax
Sedan Cairo to Hurghada transfer, transport ,Cairo–Hurghada Transfer, per_group ,transfer ,121 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Hurghada Overnight, transport ,Cairo–Hurghada Overnight, per_group ,tour,166 €,48 hours, Sedan , 1-2 pax
Sedan Cairo to Sharm El-Sheikh transfer, transport ,Cairo–Sharm El-Sheikh Transfer, per_group ,transfer ,135 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Sharm El-Sheikh Overnight, transport ,Cairo–Sharm El-Sheikh Overnight, per_group ,tour,180 €,48 hours, Sedan , 1-2 pax
Sedan Cairo to Marsa Alam transfer, transport ,Cairo–Marsa Alam Transfer, per_group ,transfer ,190 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Marsa Alam Overnight, transport ,Cairo–Marsa Alam Overnight, per_group ,tour,235 €,48 hours, Sedan , 1-2 pax
Sedan Cairo to Marsa Matrouh transfer, transport ,Cairo–Marsa Matrouh Transfer, per_group ,transfer ,121 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Marsa Matrouh Overnight, transport ,Cairo–Marsa Matrouh Overnight, per_group ,tour,166 €,48 hours, Sedan , 1-2 pax
